"Açıklama","Alım","Alım Ortalama","Satım","Satım Ortalama","Toplam","Yüzde","Net","Maliyet"
"ACAR","631.027","31,63","625.377","31,59","1.256.404","0,13","5.650","36,142"
"A1 CAPITAL","9.765.407","33,89","9.890.293","33,88","19.655.700","2,09","-124.886","33,157"
"ANADOLU","562.920","37,90","557.788","38,02","1.120.708","0,12","5.132","24,464"
"AK","36.125.277","34,60","36.369.573","34,54","72.494.850","7,69","-244.296","26,125"
"PUSULA YAT.","1.078.005","33,56","1.198.755","33,43","2.276.760","0,24","-120.750","32,296"
"ALLBATROSS ","65.568","35,04","56.967","35,05","122.535","0,01","8.601","34,949"
"ALTERNATIF","78.344","33,38","72.129","33,58","150.473","0,02","6.215","30,996"
"ALNUS","3.647.560","35,68","2.857.931","35,08","6.505.491","0,69","789.629","37,866"
"ATA","1.125.937","34,53","1.273.686","34,54","2.399.623","0,25","-147.749","34,654"
"AKTIF ","24.942","37,31","62.665","37,63","87.607","0,01","-37.723","37,842"
"AHLATCI","1.273.884","34,06","1.294.180","34,11","2.568.064","0,27","-20.296","37,337"
"BULLS YATIRIM","2.009.919","34,86","1.708.065","34,11","3.717.984","0,39","301.854","39,121"
"NEO MENKUL","6.680","35,13","12.474","37,59","19.154","0,00","-5.794","40,427"
"BIZIM","540.006","32,40","634.175","33,22","1.174.181","0,12","-94.169","37,927"
"COLENDI","16.414.978","34,31","16.417.185","34,31","32.832.163","3,48","-2.207","37,712"
"DESTEK","115.781","32,72","100.754","31,56","216.535","0,02","15.027","40,458"
"DINAMIK","39.095","33,27","46.546","33,77","85.641","0,01","-7.451","36,410"
"DENIZ","7.820.124","34,45","7.680.952","34,39","15.501.076","1,64","139.172","38,072"
"BURGAN","1.050.285","34,55","694.870","35,48","1.745.155","0,19","355.415","32,738"
"BTCTURK","536.088","34,26","538.566","34,09","1.074.654","0,11","-2.478","-3,739"
"FIBA","240.371","33,75","210.914","33,80","451.285","0,05","29.457","33,355"
"QNB YATIRIM","9.023.761","33,33","9.632.636","33,34","18.656.397","1,98","-608.875","33,436"
"GCM","19.116","35,64","19.368","36,08","38.484","0,00","-252","69,131"
"GEDIK","9.923.586","34,09","9.767.905","34,09","19.691.491","2,09","155.681","34,099"
"GLOBAL","1.789.512","34,44","1.881.822","34,29","3.671.334","0,39","-92.310","31,317"
"ING","938.818","33,84","1.055.490","33,90","1.994.308","0,21","-116.672","34,373"
"GARANTI BBVA","15.854.310","34,02","15.828.349","34,10","31.682.659","3,36","25.961","-12,349"
"HALK","14.923.490","33,97","15.467.582","34,12","30.391.072","3,22","-544.092","38,010"
"HSBC","1.334.833","33,87","1.370.431","33,86","2.705.264","0,29","-35.598","33,446"
"INVEST AZ","643.600","34,84","637.402","34,92","1.281.002","0,14","6.198","26,679"
"ICBC TURKEY","612.365","33,40","801.233","33,37","1.413.598","0,15","-188.868","33,280"
"IKON","162.783","35,77","162.783","35,86","325.566","0,03","0","0,000"
"INTEGRAL","379.400","32,44","324.923","31,84","704.323","0,07","54.477","36,026"
"INFO","13.134.126","34,23","13.328.013","34,07","26.462.139","2,81","-193.887","23,320"
"IS","50.286.209","34,07","50.838.008","34,05","101.124.217","10,73","-551.799","31,829"
"KUVEYT TURK","5.582.241","33,34","5.788.580","34,00","11.370.821","1,21","-206.339","52,073"
"MIDAS","20.165.041","34,43","19.816.431","34,32","39.981.472","4,24","348.610","40,663"
"BANK OF AMERICA","71.089.183","34,33","69.856.918","34,29","140.946.101","14,95","1.232.265","36,385"
"MARBAS","6.017.624","33,88","6.109.368","33,81","12.126.992","1,29","-91.744","29,168"
"MEKSA","816.948","35,20","768.460","35,20","1.585.408","0,17","48.488","35,193"
"NCM INVESTMENT","100.049","35,68","91.851","34,49","191.900","0,02","8.198","49,019"
"OSMANLI","11.103.555","34,24","11.208.504","34,12","22.312.059","2,37","-104.949","21,012"
"OYAK","11.888.484","34,14","11.049.522","34,24","22.938.006","2,43","838.962","32,807"
"PHILLIP","5.004.801","34,27","5.093.480","34,30","10.098.281","1,07","-88.679","35,810"
"PIRAMIT","936.531","33,78","986.618","33,42","1.923.149","0,20","-50.087","26,514"
"PAPARA ","1.700","40,10","2.200","39,87","3.900","0,00","-500","39,076"
"SEKER","1.176.694","34,51","916.809","34,67","2.093.503","0,22","259.885","33,959"
"STRATEJI","46.097","37,91","23.098","39,07","69.195","0,01","22.999","36,740"
"TACIRLER","9.082.367","34,88","9.722.347","34,81","18.804.714","1,99","-639.980","33,945"
"TEB","11.533.553","33,67","11.279.002","33,20","22.812.555","2,42","254.551","54,370"
"TURKISH","27.941","33,13","22.021","33,67","49.962","0,01","5.920","31,110"
"TERA","2.631.355","33,26","1.956.169","34,78","4.587.524","0,49","675.186","28,870"
"TRIVE","1.698.265","34,16","1.729.883","34,17","3.428.148","0,36","-31.618","34,354"
"UNLU","2.041.256","33,44","1.910.077","32,56","3.951.333","0,42","131.179","46,299"
"VAKIF","25.808.053","34,07","25.915.249","34,23","51.723.302","5,49","-107.196","71,960"
"YATIRIM FINANSMAN","3.096.158","32,53","3.182.239","32,99","6.278.397","0,67","-86.081","49,343"
"YAPI KREDI","51.015.538","34,10","51.577.450","34,19","102.592.988","10,88","-561.912","42,909"
"ZIRAAT","28.301.418","33,85","28.916.893","33,95","57.218.311","6,07","-615.475","38,396"
