"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","13.390","10.148","388.845,61","1.027","0","0,00","0,03","9.121","364.657,58","0,02","-4.269","-31,88","-24.188,04"
"A1 CAPITAL","492.699","353.566","14.307.973,60","2.683","-2.818","39,37","1,10","353.701","14.140.957,82","0,79","-138.998","-28,21","-167.015,78"
"ANADOLU","7.107","10.714","206.375,67","0","0","0,00","0,02","10.714","428.329,72","0,02","3.607","50,76","221.954,05"
"AK","2.522.924","2.309.261","73.265.726,60","11.285","11.959","39,64","5,65","2.286.017","91.394.974,21","5,12","-236.907","-9,39","18.129.247,61"
"PUSULA YAT.","83.537","44.239","2.425.926,17","18.855","305","39,34","0,19","25.079","1.002.674,40","0,06","-58.458","-69,98","-1.423.251,77"
"ALTERNATIF","27.340","26.920","793.953,63","0","0","0,00","0,06","26.920","1.076.261,59","0,06","-420","-1,54","282.307,96"
"ALNUS","37.443","104.882","1.087.344,75","-1.620","0","0,00","0,08","106.502","4.257.949,91","0,24","69.059","184,44","3.170.605,16"
"ATA","159.482","156.748","4.631.357,43","-767","1.283","39,43","0,36","156.232","6.246.155,29","0,35","-3.250","-2,04","1.614.797,86"
"AHLATCI","33.875","15.033","983.735,84","60","0","0,00","0,08","14.973","598.628,53","0,03","-18.902","-55,80","-385.107,31"
"BULLS YATIRIM","111.240","51.860","3.230.398,09","172","-2.020","39,58","0,25","53.708","2.147.229,82","0,12","-57.532","-51,72","-1.083.168,26"
"NEO MENKUL","5.236","54","152.053,44","0","0","0,00","0,01","54","2.158,92","0,00","-5.182","-98,97","-149.894,52"
"BIZIM","186.128","119.808","5.405.151,48","0","0","0,00","0,42","119.808","4.789.915,79","0,27","-66.320","-35,63","-615.235,69"
"CITIBANK YABANCI","2.354","10.080","68.365,97","0","0","0,00","0,01","10.080","403.006,39","0,02","7.726","328,18","334.640,42"
"COLENDI","15.002","15.858","435.658,09","-28","0","0,00","0,03","15.886","635.122,27","0,04","884","5,89","199.464,18"
